invoice_number,invoice_date,order_date,order_type,order_quantity,shipped_quantity,sales_amount,unit_price,customer_id,customer_location,customer_department,customer_province,item_id,item_description,item_department,item_section,item_group,warehouse_number,warehouse_name,warehouse_region_name,vendor_number,vendor_name,supplier_id,supplier_name
1949460,2020-09-16,2020-09-13,REGULAR,1,0,0.0,0.0,462,1,0,OHIO,177980,RESERS GEN PAK ELBOW MAC  SALAD    ,30,57,923,905,MISSOURI FOOD WAREHOUSE,MISSOURI,0,?,98832971,THE GROCERY GROUP
3793836,2019-05-03,2019-05-02,REGULAR,1,0,0.0,0.0,208,14,32,TEXAS,351445,DOVE MEN+THICK & CLN SHM           ,30,77,443,904,TEXAS FOOD WAREHOUSE,TEXAS,0,?,98832975,BRANDS GLOBAL CO.
3755974,2019-03-07,2019-03-05,REGULAR,2,0,0.0,0.0,2020,4,66,TEXAS,2486165,RESERS MSB RSTD RMRY GRLC POTATOES ,30,57,927,904,TEXAS FOOD WAREHOUSE,TEXAS,0,?,98832975,BRANDS GLOBAL CO.
5317632,2020-02-26,2020-02-24,REGULAR,1,0,0.0,0.0,2312,1,66,ARIZONA,2464592,SABRA GUACAMLE & TOSTITOS          ,30,57,963,903,OHIO FOOD WAREHOUSE,OHIO,0,?,98832975,BRANDS GLOBAL CO.
5371266,2020-05-04,2020-04-30,REGULAR,1,0,0.0,0.0,981,1,0,ARIZONA,704908,TYLENOL CAPLETS X-STRENGTH         ,30,69,65,903,OHIO FOOD WAREHOUSE,OHIO,0,?,98832971,THE GROCERY GROUP
5674085,2018-01-10,2018-01-05,REGULAR,1,0,0.0,0.0,3911,2,60,MICHIGAN,267369,CARE+ ANTACID  X/STR CALC ASST FRT ,30,70,100,903,OHIO FOOD WAREHOUSE,OHIO,0,?,98832975,BRANDS GLOBAL CO.
3260877,2020-07-12,2020-07-10,REGULAR,1,0,0.0,0.0,2073,45,9,TEXAS,6222061,FEBREZE XTRA   STRONG 36  BIG BRNDS,30,77,803,904,TEXAS FOOD WAREHOUSE,TEXAS,0,?,98832975,BRANDS GLOBAL CO.
5142528,2019-06-03,2019-05-31,REGULAR,2,0,0.0,0.0,1954,1,8,MICHIGAN,443036,RESERS BAKED MACARONI &   CHEESE   ,30,57,927,903,OHIO FOOD WAREHOUSE,OHIO,0,?,98832975,BRANDS GLOBAL CO.
5919821,2019-01-25,2019-01-24,REGULAR,1,0,0.0,0.0,2620,21,62,ARIZONA,544908,I/SPRING ORIG  BWASH TRVL          ,30,77,800,903,OHIO FOOD WAREHOUSE,OHIO,0,?,98832975,BRANDS GLOBAL CO.
5347937,2020-04-06,2020-04-03,REGULAR,1,0,0.0,0.0,2602,1,0,ARIZONA,175737,F/GOUR TRI-COL TORT STRIP          ,30,85,773,903,OHIO FOOD WAREHOUSE,OHIO,0,?,98832971,THE GROCERY GROUP
1814138,2019-11-20,2019-11-19,REGULAR,2,0,0.0,0.0,2059,16,83,CALIFORNIA,805200,ZANTAC 75       TABLETS            ,30,70,30,905,MISSOURI FOOD WAREHOUSE,MISSOURI,0,?,98832975,BRANDS GLOBAL CO.
1865129,2020-03-21,2020-03-19,REGULAR,1,0,0.0,0.0,1869,5,60,CALIFORNIA,133538,WET ONES VIT.E & ALOE              ,30,72,10,905,MISSOURI FOOD WAREHOUSE,MISSOURI,0,?,98832975,BRANDS GLOBAL CO.
1559257,2018-05-18,2018-05-16,REGULAR,6,0,0.0,0.0,7331,891,9,GEORGIA,935221,CETAPHIL DAILY FACIAL MOISTUR SPF15,30,72,315,905,MISSOURI FOOD WAREHOUSE,MISSOURI,0,?,98832975,BRANDS GLOBAL CO.
3550720,2018-04-29,2018-04-25,REGULAR,1,0,0.0,0.0,8,1,64,TEXAS,177642,RESERS GEN PACK POTATO &  EGG SALAD,30,57,923,904,TEXAS FOOD WAREHOUSE,TEXAS,0,?,98832975,BRANDS GLOBAL CO.
5224952,2019-10-05,2019-10-04,REGULAR,1,0,0.0,0.0,2142,70,66,ARIZONA,6221204,SABRA EVERYTHING HUMMUS   /TOAST   ,30,57,963,903,OHIO FOOD WAREHOUSE,OHIO,0,?,98832975,BRANDS GLOBAL CO.
3893173,2019-10-05,2019-10-04,REGULAR,4,0,0.0,0.0,2486,6,30,TEXAS,390369,ROBITUSSIN COUGH SYRUP             ,30,69,443,904,TEXAS FOOD WAREHOUSE,TEXAS,0,?,98832975,BRANDS GLOBAL CO.
5914644,2019-01-17,2019-01-15,REGULAR,1,0,0.0,0.0,2620,18,62,ARIZONA,2428803,SEC FRESH DEOD INV SOLID           ,30,77,800,903,OHIO FOOD WAREHOUSE,OHIO,0,?,98832975,BRANDS GLOBAL CO.
1657998,2018-12-02,2018-12-01,REGULAR,1,0,0.0,0.0,930,1,9,CALIFORNIA,2456424,BLUE TOP BUFFALO CAYENNE  HOT SAUCE,30,34,55,905,MISSOURI FOOD WAREHOUSE,MISSOURI,0,?,98832975,BRANDS GLOBAL CO.
1731015,2019-05-11,2019-05-10,REGULAR,1,0,0.0,0.0,271,1,60,CALIFORNIA,463505,GOODY SUPER COMB                   ,30,77,15,905,MISSOURI FOOD WAREHOUSE,MISSOURI,0,?,98832975,BRANDS GLOBAL CO.
5360360,2020-04-20,2020-04-19,REGULAR,1,0,0.0,0.0,1560,1,62,MICHIGAN,381400,TUMS ASST FRT  X-STRENGTH          ,30,70,160,903,OHIO FOOD WAREHOUSE,OHIO,0,?,98832975,BRANDS GLOBAL CO.
5734425,2018-04-22,2018-04-21,REGULAR,1,0,0.0,0.0,646,2,62,MICHIGAN,660704,PLTX DROP-INS  8OZ LINER  50 COUNT ,30,71,360,903,OHIO FOOD WAREHOUSE,OHIO,0,?,98832975,BRANDS GLOBAL CO.
5470635,2020-09-05,2020-09-04,REGULAR,3,0,0.0,0.0,2620,21,62,ARIZONA,4728432,29112 JOIE SILICONE STEAMER        ,40,7,270,903,OHIO FOOD WAREHOUSE,OHIO,0,?,98832975,BRANDS GLOBAL CO.
5853261,2018-10-17,2018-10-16,REGULAR,2,0,0.0,0.0,2620,20,62,ARIZONA,2813988,CO-OP SOLUTIONS CATEGORY SHELF TALK,10,7,119,903,OHIO FOOD WAREHOUSE,OHIO,0,?,98832975,BRANDS GLOBAL CO.
1583742,2018-07-07,2018-07-05,REGULAR,2,0,0.0,0.0,2674,21,30,CALIFORNIA,102350,NASACORT ALRGY 60 DOSE -R          ,30,69,780,905,MISSOURI FOOD WAREHOUSE,MISSOURI,0,?,98832975,BRANDS GLOBAL CO.
5490307,2020-10-01,2020-09-28,REGULAR,1,0,0.0,0.0,15138,7,0,ARIZONA,6217251,OPTIFREE TRAVL REPLENISH  90 ML    ,30,79,335,903,OHIO FOOD WAREHOUSE,OHIO,0,?,98832971,THE GROCERY GROUP
1542586,2018-04-16,2018-04-14,REGULAR,1,0,0.0,0.0,437,1,30,CALIFORNIA,565978,CARE+ E/S HOT  LEMON COLD FLU      ,30,69,448,905,MISSOURI FOOD WAREHOUSE,MISSOURI,0,?,98832975,BRANDS GLOBAL CO.
